County,ZIP Code,Year,New,Renewed,Insured-Initiated Nonrenewed,Insurer-Initiated Nonrenewed,,,
Los Angeles,90001,2015,734,5092,415,178,,,
Los Angeles,90002,2015,807,5006,472,198,,,
Los Angeles,90003,2015,1033,6115,612,305,,,
Los Angeles,90004,2015,527,3875,400,128,,,
Los Angeles,90005,2015,130,859,113,42,,,
Los Angeles,90006,2015,314,1645,179,91,,,
Los Angeles,90007,2015,283,1682,153,93,,,
Los Angeles,90008,2015,528,4247,322,104,,,
Los Angeles,90009,2015,0,3,0,0,,,
Los Angeles,90010,2015,4,44,7,1,,,
Los Angeles,90011,2015,1144,6837,600,326,,,
Los Angeles,90012,2015,72,637,60,14,,,
Los Angeles,90013,2015,10,61,14,1,,,
Los Angeles,90014,2015,4,43,6,1,,,
Los Angeles,90015,2015,48,351,41,12,,,
Los Angeles,90016,2015,807,5828,527,188,,,
Los Angeles,90017,2015,17,126,18,4,,,
Los Angeles,90018,2015,753,5018,468,180,,,
Los Angeles,90019,2015,997,6567,688,238,,,
Los Angeles,90020,2015,82,672,61,30,,,
Los Angeles,90021,2015,10,52,6,2,,,
Los Angeles,90022,2015,885,8038,525,237,,,
Los Angeles,90023,2015,527,3945,297,151,,,
Los Angeles,90024,2015,355,2760,251,95,,,
Los Angeles,90025,2015,302,2679,279,68,,,
Los Angeles,90026,2015,1018,7256,678,258,,,
Los Angeles,90027,2015,619,4718,456,141,,,
Los Angeles,90028,2015,138,553,84,26,,,
Los Angeles,90029,2015,233,1862,159,57,,,
Los Angeles,90030,2015,0,2,0,0,,,
Los Angeles,90031,2015,503,4141,300,116,,,
Los Angeles,90032,2015,811,6585,523,179,,,
Los Angeles,90033,2015,421,2996,216,124,,,
Los Angeles,90034,2015,588,4630,499,109,,,
Los Angeles,90035,2015,484,3811,411,110,,,
Los Angeles,90036,2015,451,3125,331,119,,,
Los Angeles,90037,2015,728,4410,417,188,,,
Los Angeles,90038,2015,218,1248,143,53,,,
Los Angeles,90039,2015,702,6285,519,154,,,
Los Angeles,90040,2015,211,1781,141,47,,,
Los Angeles,90041,2015,558,5339,430,106,,,
Los Angeles,90042,2015,1079,8504,743,218,,,
Los Angeles,90043,2015,1105,8441,636,329,,,
Los Angeles,90044,2015,1530,9657,834,492,,,
Los Angeles,90045,2015,828,8473,693,119,,,
Los Angeles,90046,2015,777,5044,639,188,,,
Los Angeles,90047,2015,1325,9827,813,391,,,
Los Angeles,90048,2015,485,3169,399,110,,,
Los Angeles,90049,2015,768,6685,599,241,,,
Los Angeles,90050,2015,0,1,1,0,,,
Los Angeles,90053,2015,0,1,0,0,,,
Los Angeles,90054,2015,0,1,0,0,,,
Los Angeles,90056,2015,212,2153,141,54,,,
Los Angeles,90057,2015,67,363,38,25,,,
Los Angeles,90058,2015,23,100,12,10,,,
Los Angeles,90059,2015,689,4508,428,180,,,
Los Angeles,90060,2015,0,1,2,0,,,
Los Angeles,90061,2015,489,3163,281,142,,,
Los Angeles,90062,2015,598,4114,360,166,,,
Los Angeles,90063,2015,803,5723,467,221,,,
Los Angeles,90064,2015,607,5938,523,121,,,
Los Angeles,90065,2015,1047,8164,691,205,,,
Los Angeles,90066,2015,996,9634,799,179,,,
Los Angeles,90067,2015,7,131,8,3,,,
Los Angeles,90068,2015,719,4780,500,175,,,
Los Angeles,90069,2015,416,2393,361,134,,,
Los Angeles,90071,2015,0,4,0,0,,,
Los Angeles,90077,2015,291,2583,214,93,,,
Los Angeles,90078,2015,0,2,0,0,,,
Los Angeles,90083,2015,0,0,0,0,,,
Los Angeles,90086,2015,0,2,1,0,,,
Los Angeles,90091,2015,0,1,1,0,,,
Los Angeles,90093,2015,0,0,0,0,,,
Los Angeles,90094,2015,95,324,55,6,,,
,90101,2015,0,1,0,0,,,
Los Angeles,90201,2015,909,9951,643,190,,,
Los Angeles,90202,2015,1,0,0,0,,,
Los Angeles,90209,2015,0,6,0,0,,,
Los Angeles,90210,2015,789,5103,546,293,,,
Los Angeles,90211,2015,170,1092,145,41,,,
Los Angeles,90212,2015,183,1185,130,56,,,
Los Angeles,90213,2015,0,7,0,0,,,
Los Angeles,90220,2015,1028,7456,610,284,,,
Los Angeles,90221,2015,812,6267,518,200,,,
Los Angeles,90222,2015,577,4054,357,141,,,
Los Angeles,90223,2015,0,1,0,0,,,
Los Angeles,90224,2015,0,1,0,0,,,
,90225,2015,0,1,0,0,,,
Los Angeles,90230,2015,491,4931,416,86,,,
Los Angeles,90231,2015,0,3,0,0,,,
Los Angeles,90232,2015,309,3027,251,47,,,
Los Angeles,90239,2015,0,9,0,0,,,
Los Angeles,90240,2015,573,5191,438,77,,,
Los Angeles,90241,2015,765,6688,532,157,,,
Los Angeles,90242,2015,732,6730,542,122,,,
Los Angeles,90245,2015,281,3182,245,45,,,
Los Angeles,90247,2015,579,6221,424,113,,,
Los Angeles,90248,2015,214,2233,175,53,,,
Los Angeles,90249,2015,467,5108,408,75,,,
Los Angeles,90250,2015,1247,11478,888,200,,,
Los Angeles,90251,2015,0,6,0,0,,,
Los Angeles,90254,2015,510,4916,436,73,,,
Los Angeles,90255,2015,807,7106,505,169,,,
Los Angeles,90260,2015,671,5882,509,99,,,
Los Angeles,90262,2015,796,7636,514,164,,,
Los Angeles,90263,2015,1,3,0,0,,,
Los Angeles,90264,2015,0,2,0,0,,,
Los Angeles,90265,2015,531,4421,426,157,,,
Los Angeles,90266,2015,1003,10641,910,151,,,
Los Angeles,90267,2015,0,6,2,0,,,
,90269,2015,0,1,0,0,,,
Los Angeles,90270,2015,240,2883,147,61,,,
Los Angeles,90272,2015,775,6565,606,176,,,
Los Angeles,90274,2015,852,7936,690,171,,,
Los Angeles,90275,2015,1144,11634,862,226,,,
Los Angeles,90277,2015,677,6677,561,108,,,
Los Angeles,90278,2015,958,8528,737,161,,,
Los Angeles,90280,2015,1166,12625,814,243,,,
Los Angeles,90290,2015,147,1182,98,48,,,
Los Angeles,90291,2015,766,6238,632,144,,,
Los Angeles,90292,2015,144,1267,150,40,,,
Los Angeles,90293,2015,176,1535,136,28,,,
Los Angeles,90294,2015,0,4,1,0,,,
Los Angeles,90295,2015,0,1,0,0,,,
Los Angeles,90296,2015,0,1,0,0,,,
Los Angeles,90301,2015,294,3254,194,83,,,
Los Angeles,90302,2015,313,2893,224,97,,,
Los Angeles,90303,2015,367,3711,262,105,,,
Los Angeles,90304,2015,261,2831,172,78,,,
Los Angeles,90305,2015,371,3187,256,117,,,
Los Angeles,90308,2015,0,0,0,1,,,
Los Angeles,90309,2015,0,3,0,0,,,
Los Angeles,90401,2015,17,159,8,9,,,
Los Angeles,90402,2015,363,3207,295,103,,,
Los Angeles,90403,2015,156,1643,146,27,,,
Los Angeles,90404,2015,165,1458,139,31,,,
Los Angeles,90405,2015,419,4271,339,74,,,
Los Angeles,90406,2015,0,3,0,0,,,
Los Angeles,90501,2015,669,6939,544,102,,,
Los Angeles,90502,2015,304,2844,233,48,,,
Los Angeles,90503,2015,652,7893,518,97,,,
Los Angeles,90504,2015,659,7399,554,111,,,
Los Angeles,90505,2015,684,8087,550,104,,,
Los Angeles,90506,2015,0,2,0,0,,,
Los Angeles,90507,2015,0,1,0,0,,,
Los Angeles,90508,2015,0,1,0,0,,,
Los Angeles,90510,2015,0,2,0,0,,,
Los Angeles,90601,2015,674,6584,472,130,,,
Los Angeles,90602,2015,470,3739,312,74,,,
Los Angeles,90603,2015,577,5442,458,88,,,
Los Angeles,90604,2015,837,7946,684,117,,,
Los Angeles,90605,2015,848,8041,636,166,,,
Los Angeles,90606,2015,721,6272,494,104,,,
Los Angeles,90607,2015,0,6,0,0,,,
Los Angeles,90608,2015,0,7,0,0,,,
Los Angeles,90609,2015,0,11,0,0,,,
Los Angeles,90610,2015,0,0,0,1,,,
Orange,90620,2015,1019,10275,836,165,,,
Orange,90621,2015,458,3451,326,88,,,
Orange,90622,2015,0,4,0,0,,,
Orange,90623,2015,353,3506,290,46,,,
,90625,2015,0,1,0,0,,,
Orange,90630,2015,1037,10119,867,145,,,
Orange,90631,2015,1422,12537,1105,226,,,
Orange,90632,2015,0,6,0,0,,,
Orange,90633,2015,0,6,1,0,,,
Los Angeles,90637,2015,0,11,0,0,,,
Los Angeles,90638,2015,1158,11396,940,168,,,
Los Angeles,90639,2015,0,1,1,0,,,
Los Angeles,90640,2015,940,9093,697,202,,,
Los Angeles,90650,2015,1990,18020,1474,362,,,
Los Angeles,90651,2015,0,2,0,0,,,
Los Angeles,90652,2015,0,1,0,0,,,
Los Angeles,90660,2015,1164,11402,878,215,,,
Los Angeles,90661,2015,1,2,0,1,,,
Los Angeles,90670,2015,305,2891,220,40,,,
Orange,90680,2015,505,3103,337,97,,,
Los Angeles,90701,2015,338,3229,254,56,,,
Los Angeles,90702,2015,0,5,0,0,,,
Los Angeles,90703,2015,1106,12557,896,155,,,
Los Angeles,90704,2015,53,513,45,28,,,
Los Angeles,90706,2015,1106,10904,838,190,,,
Los Angeles,90707,2015,0,7,0,0,,,
Los Angeles,90710,2015,426,4117,323,89,,,
Los Angeles,90711,2015,0,3,0,0,,,
Los Angeles,90712,2015,901,8848,732,124,,,
Los Angeles,90713,2015,738,8820,604,97,,,
Los Angeles,90714,2015,0,10,0,0,,,
Los Angeles,90715,2015,353,3279,281,51,,,
Los Angeles,90716,2015,178,1635,112,29,,,
Los Angeles,90717,2015,397,4242,307,82,,,
Orange,90720,2015,529,5318,447,76,,,
Los Angeles,90723,2015,593,5828,415,136,,,
Los Angeles,90731,2015,1176,9336,870,180,,,
Los Angeles,90732,2015,489,4396,380,87,,,
Los Angeles,90733,2015,1,5,0,0,,,
Los Angeles,90734,2015,0,1,1,0,,,
Orange,90740,2015,397,4551,329,62,,,
Orange,90742,2015,49,327,38,17,,,
Orange,90743,2015,16,177,17,5,,,
Los Angeles,90744,2015,583,6324,430,123,,,
Los Angeles,90745,2015,971,9816,721,186,,,
Los Angeles,90746,2015,680,6536,505,185,,,
Los Angeles,90748,2015,0,1,0,0,,,
Los Angeles,90749,2015,0,6,0,0,,,
Los Angeles,90755,2015,176,1511,144,30,,,
Los Angeles,90801,2015,0,5,0,0,,,
Los Angeles,90802,2015,203,1915,169,47,,,
Los Angeles,90803,2015,755,7310,604,123,,,
Los Angeles,90804,2015,470,4144,370,76,,,
Los Angeles,90805,2015,1477,13138,1005,325,,,
Los Angeles,90806,2015,620,5530,489,110,,,
Los Angeles,90807,2015,757,6778,608,111,,,
Los Angeles,90808,2015,1136,12513,945,148,,,
Los Angeles,90809,2015,1,2,0,0,,,
Los Angeles,90810,2015,646,5770,428,110,,,
Los Angeles,90813,2015,490,3455,310,121,,,
Los Angeles,90814,2015,348,3493,300,63,,,
Los Angeles,90815,2015,953,10336,788,120,,,
,90816,2015,0,1,0,0,,,
Los Angeles,90822,2015,0,0,0,0,,,
Los Angeles,90832,2015,0,1,0,0,,,
Los Angeles,90840,2015,0,1,0,0,,,
Los Angeles,90853,2015,0,2,0,0,,,
Los Angeles,91001,2015,1107,9991,767,240,,,
Los Angeles,91003,2015,0,2,0,0,,,
Los Angeles,91006,2015,1021,7879,854,150,,,
Los Angeles,91007,2015,706,5438,589,112,,,
Los Angeles,91008,2015,29,259,21,9,,,
Los Angeles,91009,2015,0,0,0,0,,,
Los Angeles,91010,2015,499,4924,386,82,,,
Los Angeles,91011,2015,632,5932,513,154,,,
Los Angeles,91012,2015,0,7,0,0,,,
Los Angeles,91016,2015,953,8665,713,140,,,
Los Angeles,91017,2015,0,11,0,0,,,
Los Angeles,91020,2015,130,1106,115,21,,,
Los Angeles,91021,2015,1,1,0,0,,,
Los Angeles,91023,2015,0,0,0,0,,,
Los Angeles,91024,2015,304,3062,225,59,,,
Los Angeles,91025,2015,0,4,0,0,,,
Los Angeles,91030,2015,496,4788,375,89,,,
Los Angeles,91031,2015,0,7,0,0,,,
Los Angeles,91040,2015,636,5172,483,129,,,
Los Angeles,91041,2015,0,1,0,0,,,
Los Angeles,91042,2015,713,5506,527,162,,,
Los Angeles,91046,2015,0,1,0,0,,,
Los Angeles,91066,2015,0,5,0,0,,,
Los Angeles,91077,2015,0,2,0,0,,,
Los Angeles,91101,2015,89,722,78,15,,,
Los Angeles,91102,2015,0,4,0,0,,,
Los Angeles,91103,2015,561,4282,382,138,,,
Los Angeles,91104,2015,981,7928,720,182,,,
Los Angeles,91105,2015,338,2853,259,91,,,
Los Angeles,91106,2015,367,3140,274,79,,,
Los Angeles,91107,2015,922,8449,758,162,,,
Los Angeles,91108,2015,473,4138,389,97,,,
Los Angeles,91109,2015,0,8,0,0,,,
Los Angeles,91114,2015,0,2,1,0,,,
Los Angeles,91117,2015,0,1,0,0,,,
Los Angeles,91118,2015,0,4,0,0,,,
Los Angeles,91123,2015,0,0,0,0,,,
Los Angeles,91125,2015,0,1,0,0,,,
,91131,2015,1,0,0,0,,,
,91140,2015,0,1,0,0,,,
,91176,2015,0,1,0,0,,,
Los Angeles,91201,2015,410,3344,317,72,,,
Los Angeles,91202,2015,380,3196,306,67,,,
Los Angeles,91203,2015,132,919,91,28,,,
Los Angeles,91204,2015,111,836,74,23,,,
Los Angeles,91205,2015,346,2699,244,78,,,
Los Angeles,91206,2015,403,3794,293,120,,,
Los Angeles,91207,2015,281,2305,218,48,,,
Los Angeles,91208,2015,436,3919,330,107,,,
Los Angeles,91209,2015,0,4,0,0,,,
Los Angeles,91210,2015,2,4,1,0,,,
Los Angeles,91214,2015,887,7848,700,136,,,
Los Angeles,91221,2015,0,1,0,0,,,
Los Angeles,91222,2015,0,0,0,0,,,
Los Angeles,91224,2015,0,5,0,0,,,
Los Angeles,91225,2015,0,1,0,0,,,
Los Angeles,91226,2015,0,4,0,0,,,
,91230,2015,0,0,1,0,,,
Los Angeles,91301,2015,721,6419,587,127,,,
Los Angeles,91302,2015,875,6073,701,227,,,
Los Angeles,91303,2015,304,2099,224,55,,,
Los Angeles,91304,2015,1056,7880,844,204,,,
Los Angeles,91305,2015,1,2,0,0,,,
Los Angeles,91306,2015,1073,7707,846,157,,,
Los Angeles,91307,2015,982,7107,804,163,,,
Los Angeles,91308,2015,0,11,0,1,,,
Los Angeles,91309,2015,1,4,0,1,,,
Los Angeles,91310,2015,0,1,0,1,,,
Los Angeles,91311,2015,999,7305,789,176,,,
Los Angeles,91313,2015,0,8,1,0,,,
Los Angeles,91316,2015,775,4808,615,166,,,
Ventura,91320,2015,1327,11629,1076,196,,,
Los Angeles,91321,2015,584,4600,447,108,,,
Los Angeles,91322,2015,0,3,0,0,,,
Los Angeles,91324,2015,639,4696,516,100,,,
Los Angeles,91325,2015,705,5282,544,130,,,
Los Angeles,91326,2015,1208,8857,985,168,,,
Los Angeles,91327,2015,0,7,1,1,,,
Los Angeles,91328,2015,0,7,0,0,,,
Los Angeles,91330,2015,0,0,0,0,,,
Los Angeles,91331,2015,1476,12052,1000,286,,,
Los Angeles,91333,2015,0,5,0,0,,,
Los Angeles,91334,2015,0,1,0,0,,,
Los Angeles,91335,2015,1560,10760,1173,316,,,
Los Angeles,91337,2015,0,5,0,0,,,
Los Angeles,91340,2015,542,4801,401,97,,,
Los Angeles,91341,2015,0,2,0,0,,,
Los Angeles,91342,2015,1835,14118,1272,377,,,
Los Angeles,91343,2015,1045,8054,862,168,,,
Los Angeles,91344,2015,1630,12508,1239,285,,,
Los Angeles,91345,2015,497,3616,358,85,,,
Los Angeles,91346,2015,0,3,0,0,,,
Los Angeles,91350,2015,1180,9022,846,164,,,
Los Angeles,91351,2015,881,6888,653,192,,,
Los Angeles,91352,2015,776,6379,556,157,,,
Los Angeles,91353,2015,0,3,0,1,,,
Los Angeles,91354,2015,1285,7398,881,130,,,
Los Angeles,91355,2015,770,6906,683,101,,,
Los Angeles,91356,2015,861,5146,644,211,,,
Los Angeles,91357,2015,0,18,0,0,,,
Ventura,91358,2015,0,4,0,0,,,
Ventura,91359,2015,0,11,0,0,,,
Ventura,91360,2015,1057,10242,883,166,,,
Ventura,91361,2015,619,5197,528,91,,,
Ventura,91362,2015,1041,8497,829,166,,,
Los Angeles,91364,2015,1165,7319,872,267,,,
Los Angeles,91365,2015,0,11,0,1,,,
Los Angeles,91367,2015,1129,7672,870,210,,,
Los Angeles,91372,2015,0,6,0,0,,,
Los Angeles,91376,2015,0,5,0,0,,,
Ventura,91377,2015,336,3247,266,59,,,
Los Angeles,91380,2015,0,8,0,0,,,
Los Angeles,91381,2015,550,3854,447,71,,,
Los Angeles,91383,2015,0,1,0,0,,,
Los Angeles,91384,2015,649,5461,489,124,,,
Los Angeles,91386,2015,0,2,0,0,,,
Los Angeles,91387,2015,838,6317,664,152,,,
Los Angeles,91390,2015,527,4522,423,88,,,
Los Angeles,91392,2015,0,6,0,0,,,
Los Angeles,91393,2015,0,2,0,0,,,
Los Angeles,91394,2015,0,7,0,0,,,
Los Angeles,91395,2015,0,1,0,0,,,
Los Angeles,91396,2015,0,9,0,0,,,
Los Angeles,91401,2015,792,5156,601,144,,,
Los Angeles,91402,2015,698,5008,520,138,,,
Los Angeles,91403,2015,585,4009,451,113,,,
Los Angeles,91404,2015,0,1,0,0,,,
